threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,,,,,Nishinoshima (Ogasawara),Citation and verifiability,Citation coverage failure,,7,6,14,0.428571,5,0.357143,1,0.071429,0,0.000000,6,1,0
main,,,,,Nishinoshima (Ogasawara),Citation and verifiability,Citation support failure,,18,12,14,0.857143,9,0.642857,4,0.285714,0,0.000000,14,4,0
main,,,,,Nishinoshima (Ogasawara),Content quality,Content omission,,28,14,14,1.000000,10,0.714286,5,0.357143,0,0.000000,20,8,0
main,,,,,Nishinoshima (Ogasawara),Content quality,Content substitution,,5,5,14,0.357143,0,0.000000,5,0.357143,0,0.000000,0,5,0
main,,,,,Nishinoshima (Ogasawara),Planning and graph,Graph coherence failure,,2,2,14,0.142857,0,0.000000,2,0.142857,0,0.000000,0,2,0
main,,,,,Surtsey,Citation and verifiability,Citation coverage failure,,4,3,14,0.214286,3,0.214286,0,0.000000,0,0.000000,4,0,0
main,,,,,Surtsey,Citation and verifiability,Citation support failure,,7,4,14,0.285714,4,0.285714,0,0.000000,0,0.000000,7,0,0
main,,,,,Surtsey,Content quality,Content omission,,23,12,14,0.857143,2,0.142857,12,0.857143,0,0.000000,2,21,0
main,,,,,Tromelin Island,Citation and verifiability,Citation coverage failure,,5,4,14,0.285714,3,0.214286,1,0.071429,0,0.000000,4,1,0
main,,,,,Tromelin Island,Citation and verifiability,Citation support failure,,19,10,14,0.714286,6,0.428571,7,0.500000,0,0.000000,9,10,0
main,,,,,Tromelin Island,Content quality,Content omission,,4,3,14,0.214286,1,0.071429,2,0.142857,0,0.000000,2,2,0
main,,,,,Tromelin Island,Content quality,Content substitution,,5,5,14,0.357143,0,0.000000,5,0.357143,0,0.000000,0,5,0
main,,,,,Tromelin Island,Planning and graph,Graph coherence failure,,10,10,14,0.714286,4,0.285714,6,0.428571,0,0.000000,4,6,0
