threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,,,,method1,,Content quality,Content substitution,,8,8,10,0.800000,0,0.000000,8,0.800000,0,0.000000,0,8,0
main,,,,method2,,Citation and verifiability,Citation coverage failure,,7,6,10,0.600000,3,0.300000,3,0.300000,0,0.000000,4,3,0
main,,,,method2,,Citation and verifiability,Citation support failure,,12,7,10,0.700000,5,0.500000,3,0.300000,0,0.000000,8,4,0
main,,,,method2,,Content quality,Content omission,,5,3,10,0.300000,2,0.200000,1,0.100000,0,0.000000,3,2,0
main,,,,method2,,Content quality,Content quality error,,1,1,10,0.100000,0,0.000000,1,0.100000,0,0.000000,0,1,0
main,,,,method2,,Content quality,Content substitution,,7,7,10,0.700000,1,0.100000,6,0.600000,0,0.000000,1,6,0
main,,,,method3,,Citation and verifiability,Citation coverage failure,,82,64,110,0.581818,43,0.390909,32,0.290909,0,0.000000,45,37,0
main,,,,method3,,Citation and verifiability,Citation support failure,,135,80,110,0.727273,57,0.518182,33,0.300000,0,0.000000,94,41,0
main,,,,method3,,Content quality,Content omission,,54,31,110,0.281818,12,0.109091,21,0.190909,0,0.000000,21,33,0
main,,,,method3,,Content quality,Content organization error,,1,1,110,0.009091,1,0.009091,0,0.000000,0,0.000000,1,0,0
main,,,,method3,,Content quality,Content quality error,,1,1,110,0.009091,0,0.000000,1,0.009091,0,0.000000,0,1,0
main,,,,method3,,Content quality,Content substitution,,61,61,110,0.554545,4,0.036364,57,0.518182,0,0.000000,4,57,0
main,,,,method3,,Planning and graph,Graph coherence failure,,44,44,110,0.400000,12,0.109091,32,0.290909,0,0.000000,12,32,0
main,,,,method3,,Writing quality,Writing error,,5,2,110,0.018182,2,0.018182,1,0.009091,0,0.000000,4,1,0
strict,,,,method0,,Citation and verifiability,Citation coverage failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
strict,,,,method0,,Citation and verifiability,Citation support failure,,20,10,10,1.000000,10,1.000000,0,0.000000,0,0.000000,20,0,0
strict,,,,method0,,Content quality,Content omission,,3,3,10,0.300000,1,0.100000,2,0.200000,0,0.000000,1,2,0
strict,,,,method0,,Content quality,Content substitution,,1,1,10,0.100000,1,0.100000,0,0.000000,0,0.000000,1,0,0
strict,,,,method1,,Citation and verifiability,Citation coverage failure,,9,7,10,0.700000,4,0.400000,5,0.500000,0,0.000000,4,5,0
strict,,,,method1,,Citation and verifiability,Citation support failure,,15,8,10,0.800000,6,0.600000,5,0.500000,0,0.000000,9,6,0
strict,,,,method1,,Content quality,Content omission,,13,7,10,0.700000,6,0.600000,2,0.200000,0,0.000000,11,2,0
strict,,,,method1,,Content quality,Content substitution,,8,8,10,0.800000,0,0.000000,8,0.800000,0,0.000000,0,8,0
strict,,,,method2,,Citation and verifiability,Citation coverage failure,,12,10,10,1.000000,4,0.400000,6,0.600000,0,0.000000,5,7,0
strict,,,,method2,,Citation and verifiability,Citation support failure,,17,10,10,1.000000,6,0.600000,7,0.700000,0,0.000000,9,8,0
strict,,,,method2,,Content quality,Content omission,,7,5,10,0.500000,2,0.200000,3,0.300000,0,0.000000,3,4,0
strict,,,,method2,,Content quality,Content quality error,,1,1,10,0.100000,0,0.000000,1,0.100000,0,0.000000,0,1,0
strict,,,,method2,,Content quality,Content substitution,,7,7,10,0.700000,1,0.100000,6,0.600000,0,0.000000,1,6,0
strict,,,,method3,,Citation and verifiability,Citation coverage failure,,108,80,110,0.727273,53,0.481818,44,0.400000,0,0.000000,58,50,0
strict,,,,method3,,Citation and verifiability,Citation support failure,,162,91,110,0.827273,74,0.672727,37,0.336364,0,0.000000,118,44,0
strict,,,,method3,,Content quality,Content omission,,73,46,110,0.418182,18,0.163636,32,0.290909,0,0.000000,31,42,0
strict,,,,method3,,Content quality,Content organization error,,1,1,110,0.009091,1,0.009091,0,0.000000,0,0.000000,1,0,0
strict,,,,method3,,Content quality,Content quality error,,1,1,110,0.009091,0,0.000000,1,0.009091,0,0.000000,0,1,0
strict,,,,method3,,Content quality,Content substitution,,61,61,110,0.554545,4,0.036364,57,0.518182,0,0.000000,4,57,0
strict,,,,method3,,Planning and graph,Graph coherence failure,,77,77,110,0.700000,25,0.227273,52,0.472727,0,0.000000,25,52,0
strict,,,,method3,,Writing quality,Writing error,,5,2,110,0.018182,2,0.018182,1,0.009091,0,0.000000,4,1,0
