threshold_setting,comparison_label,variant_name,variant_type,method,island_name,error_family,error_class,error_subclass,total_error_instances,affected_outputs,total_outputs_in_group,percentage_of_outputs,high_severity_affected_outputs,high_severity_percentage_of_outputs,medium_severity_affected_outputs,medium_severity_percentage_of_outputs,low_severity_affected_outputs,low_severity_percentage_of_outputs,high_severity_count,medium_severity_count,low_severity_count
main,reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,method3,,Citation and verifiability,Citation support failure,,6,4,10,0.400000,2,0.200000,3,0.300000,0,0.000000,3,3,0
main,reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,method3,,Content quality,Content omission,,4,2,10,0.200000,1,0.100000,1,0.100000,0,0.000000,2,2,0
main,reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,method3,,Content quality,Content substitution,,5,5,10,0.500000,0,0.000000,5,0.500000,0,0.000000,0,5,0
main,reranker_type cross encoder + mmr,reranker_type cross encoder + mmr,method3_ablation,method3,,Planning and graph,Graph coherence failure,,3,3,10,0.300000,2,0.200000,1,0.100000,0,0.000000,2,1,0
main,threshold 0.3,threshold 0.3,method3_ablation,method3,,Citation and verifiability,Citation coverage failure,,7,6,10,0.600000,3,0.300000,4,0.400000,0,0.000000,3,4,0
main,threshold 0.3,threshold 0.3,method3_ablation,method3,,Citation and verifiability,Citation support failure,,11,7,10,0.700000,5,0.500000,3,0.300000,0,0.000000,8,3,0
main,threshold 0.3,threshold 0.3,method3_ablation,method3,,Content quality,Content omission,,5,3,10,0.300000,1,0.100000,3,0.300000,0,0.000000,1,4,0
main,threshold 0.3,threshold 0.3,method3_ablation,method3,,Content quality,Content substitution,,5,5,10,0.500000,0,0.000000,5,0.500000,0,0.000000,0,5,0
main,threshold 0.3,threshold 0.3,method3_ablation,method3,,Planning and graph,Graph coherence failure,,6,6,10,0.600000,2,0.200000,4,0.400000,0,0.000000,2,4,0
main,threshold 0.6,threshold 0.6,method3_ablation,method3,,Citation and verifiability,Citation coverage failure,,7,6,10,0.600000,3,0.300000,3,0.300000,0,0.000000,4,3,0
main,threshold 0.6,threshold 0.6,method3_ablation,method3,,Citation and verifiability,Citation support failure,,9,5,10,0.500000,4,0.400000,3,0.300000,0,0.000000,6,3,0
main,threshold 0.6,threshold 0.6,method3_ablation,method3,,Content quality,Content omission,,4,2,10,0.200000,1,0.100000,1,0.100000,0,0.000000,2,2,0
main,threshold 0.6,threshold 0.6,method3_ablation,method3,,Content quality,Content substitution,,5,5,10,0.500000,0,0.000000,5,0.500000,0,0.000000,0,5,0
main,threshold 0.6,threshold 0.6,method3_ablation,method3,,Planning and graph,Graph coherence failure,,3,3,10,0.300000,1,0.100000,2,0.200000,0,0.000000,1,2,0
